lig,ulke,takim,sehir
SC1,SCO,Raith Rvs,Kirkcaldy
SC2,SCO,Airdrie Utd,Airdrie
SC2,SCO,Alloa,Alloa
SC2,SCO,Annan Athletic,Annan
SC2,SCO,Arbroath,Arbroath
SC2,SCO,Clyde,Cumbernauld
SC2,SCO,Cove Rangers,Aberdeen
SC2,SCO,Dumbarton,Dumbarton
SC2,SCO,Dunfermline,Dunfermline
SC2,SCO,East Fife,Methil
SC2,SCO,Edinburgh City,Edinburgh
SC2,SCO,FC Edinburgh,Edinburgh
SC2,SCO,Falkirk,Falkirk
SC2,SCO,Hamilton,Hamilton
SC2,SCO,Inverness C,Inverness
SC2,SCO,Kelty Hearts,Kelty
SC2,SCO,Montrose,Montrose
SC2,SCO,Peterhead,Peterhead
SC2,SCO,Queen of Sth,Dumfries
SC2,SCO,Queens Park,Glasgow
SC2,SCO,Stenhousemuir,Stenhousemuir
SC2,SCO,Stirling,Stirling
SC3,SCO,Albion Rvs,Coatbridge
SC3,SCO,Annan Athletic,Annan
SC3,SCO,Bonnyrigg Rose,Bonnyrigg
SC3,SCO,Clyde,Cumbernauld
SC3,SCO,Cowdenbeath,Cowdenbeath
SC3,SCO,Dumbarton,Dumbarton
SC3,SCO,East Fife,Methil
SC3,SCO,Edinburgh City,Edinburgh
SC3,SCO,Elgin,Elgin
SC3,SCO,Forfar,Forfar
SC3,SCO,Kelty Hearts,Kelty
SC3,SCO,Peterhead,Peterhead
SC3,SCO,Spartans,Edinburgh
SC3,SCO,Stenhousemuir,Stenhousemuir
SC3,SCO,Stirling,Stirling
SC3,SCO,Stranraer,Stranraer
SP1,ESP,Alaves,Vitoria
SP1,ESP,Almeria,Almería
SP1,ESP,Ath Bilbao,Bilbao
SP1,ESP,Ath Madrid,Madrid
SP1,ESP,Barcelona,Barcelona
SP1,ESP,Betis,Sevilla
SP1,ESP,Cadiz,Cádiz
SP1,ESP,Celta,Vigo
SP1,ESP,Elche,Elche
SP1,ESP,Espanol,Barcelona
SP1,ESP,Getafe,Madrid
SP1,ESP,Girona,Gerona
SP1,ESP,Granada,Granada
SP1,ESP,Las Palmas,Las Palmas
SP1,ESP,Levante,Valencia
SP1,ESP,Mallorca,Palma de Mallorca
SP1,ESP,Osasuna,Pamplona
SP1,ESP,Real Madrid,Madrid
SP1,ESP,Sevilla,Sevilla
SP1,ESP,Sociedad,San Sebastián
SP1,ESP,Valencia,Valencia
SP1,ESP,Vallecano,Madrid
SP1,ESP,Villarreal,Villarreal
SP2,ESP,Alaves,Vitoria
SP2,ESP,Albacete,Albacete
SP2,ESP,Alcorcon,Alcorcón
SP2,ESP,Almeria,Almería
SP2,ESP,Amorebieta,Amorebieta-Etxano
SP2,ESP,Burgos,Burgos
SP2,ESP,Cadiz,Cádiz
SP2,ESP,Cartagena,Cartagena
SP2,ESP,Castellon,Castellón de la Plana
SP2,ESP,Cordoba,Córdoba
SP2,ESP,Eibar,Eibar
SP2,ESP,Elche,Elche
SP2,ESP,Eldense,Elda
SP2,ESP,Espanol,Barcelona
SP2,ESP,Ferrol,Ferrol
SP2,ESP,Fuenlabrada,Fuenlabrada
SP2,ESP,Girona,Gerona
SP2,ESP,Granada,Granada
SP2,ESP,Huesca,Huesca
SP2,ESP,La Coruna,La Coruña
SP2,ESP,Las Palmas,Las Palmas
SP2,ESP,Levante,Valencia
SP2,ESP,Malaga,Málaga
SP2,ESP,Mirandes,Miranda de Ebro
SP2,ESP,Santander,Santander
SP2,ESP,Sp Gijon,Gijón
SP2,ESP,Tenerife,Santa Cruz de Tenerife
SP2,ESP,Zaragoza,Zaragoza
T1,TUR,Ad. Demirspor,Adana
T1,TUR,Alanyaspor,Alanya
T1,TUR,Altay,İzmir
T1,TUR,Ankaragucu,Ankara
T1,TUR,Antalyaspor,Antalya
T1,TUR,Besiktas,İstanbul
T1,TUR,Bodrumspor,Bodrum
T1,TUR,Buyuksehyr,İstanbul
T1,TUR,Eyupspor,Istanbul
T1,TUR,Fenerbahce,İstanbul
T1,TUR,Galatasaray,İstanbul
T1,TUR,Gaziantep,Gaziantep
T1,TUR,Giresunspor,Giresun
T1,TUR,Goztep,İzmir
T1,TUR,Hatayspor,Antakya
T1,TUR,Istanbulspor,İstanbul
T1,TUR,Karagumruk,Istanbul
T1,TUR,Kasimpasa,İstanbul
T1,TUR,Kayserispor,Kayseri
T1,TUR,Konyaspor,Konya
T1,TUR,Pendikspor,İstanbul
T1,TUR,Rizespor,Rize
T1,TUR,Samsunspor,Samsun
T1,TUR,Sivasspor,Sivas
T1,TUR,Trabzonspor,Trabzon
T1,TUR,Umraniyespor,İstanbul
T1,TUR,Yeni Malatyaspor,Malatya
